cod_precificacao,acao,status,dt_ultima_atualizacao,dt_criacao
49,I,E,01/01/25 01:07,01/01/25 01:07
50,I,E,01/01/25 20:25,01/01/25 20:25
51,I,E,01/01/25 20:36,01/01/25 20:36
53,I,E,01/01/25 20:58,01/01/25 20:58
54,I,E,01/01/25 21:00,01/01/25 21:00
55,I,E,01/01/25 21:08,01/01/25 21:08
56,I,E,01/01/25 21:22,01/01/25 21:22
57,I,E,01/01/25 21:29,01/01/25 21:29
58,I,E,01/01/25 21:45,01/01/25 21:45
59,I,E,02/01/25 01:22,02/01/25 01:22
59,I,E,02/01/25 01:22,02/01/25 01:22
59,I,E,02/01/25 01:22,02/01/25 01:22
59,I,E,02/01/25 01:22,02/01/25 01:22
59,I,E,02/01/25 01:22,02/01/25 01:22
93,I,E,02/04/25 17:58,02/04/25 17:58
92,I,E,02/04/25 20:17,02/04/25 20:17
78,I,A,03/02/25 23:06,03/02/25 23:06
83,I,A,05/03/25 18:46,05/03/25 18:46
3,I,A,07/11/24 00:00,07/11/24 00:00
5,I,E,07/11/24 00:00,07/11/24 00:00
6,I,E,07/11/24 00:00,07/11/24 00:00
4,I,E,07/11/24 00:00,07/11/24 00:00
1,E,I,07/11/24 00:00,07/11/24 00:00
2,E,I,07/11/24 00:00,07/11/24 00:00
8,I,E,09/11/24 00:00,09/11/24 00:00
7,I,E,09/11/24 00:00,09/11/24 00:00
8,I,E,09/11/24 00:00,09/11/24 00:00
8,I,E,15/11/24 00:00,09/11/24 00:00
5,E,E,15/11/24 00:00,09/11/24 00:00
6,E,E,15/11/24 00:00,09/11/24 00:00
6,E,E,16/11/20 00:00,09/11/20 00:00
9,I,E,16/11/20 00:00,09/11/20 00:00
5,E,E,16/11/20 00:00,09/11/20 00:00
10,I,E,16/11/20 00:00,09/11/20 00:00
79,I,E,18/02/25 21:54,18/02/25 21:54
79,I,E,18/02/25 21:54,18/02/25 21:54
79,I,E,18/02/25 21:54,18/02/25 21:54
79,I,E,18/02/25 21:54,18/02/25 21:54
60,I,E,20/01/25 19:40,01/01/25 01:07
63,I,E,20/01/25 21:04,20/01/25 21:04
64,I,E,20/01/25 21:28,20/01/25 21:28
60,I,E,20/01/25 22:25,20/01/25 22:25
61,I,E,20/01/25 23:01,20/01/25 23:01
62,I,E,20/01/25 23:28,20/01/25 23:28
11,I,E,2024-12-23 16:33:10.262930,2024-12-23 16:33:10.262930
12,I,E,2024-12-23 19:24:37.264112,2024-12-23 19:24:37.264112
12,I,E,2024-12-23 19:24:37.264112,2024-12-23 19:24:37.264112
13,I,E,2024-12-28 20:59:27.171371,2024-12-28 20:59:27.171371
14,I,E,2024-12-28 21:35:12.098510,2024-12-28 21:35:12.098510
15,I,E,2024-12-28 22:15:27.748161,2024-12-28 22:15:27.748161
16,I,E,2024-12-28 22:24:35.485374,2024-12-28 22:24:35.485374
17,I,E,2024-12-28 22:26:49.719320,2024-12-28 22:26:49.719320
18,I,E,2024-12-28 22:30:40.194000,2024-12-28 22:30:40.194000
19,I,E,2024-12-28 22:38:46.082121,2024-12-28 22:38:46.082121
20,I,E,2024-12-28 22:43:38.804586,2024-12-28 22:43:38.804586
21,I,E,2024-12-28 22:45:45.619082,2024-12-28 22:45:45.619082
22,I,E,2024-12-28 22:48:04.740313,2024-12-28 22:48:04.740313
23,I,E,2024-12-28 22:51:33.152573,2024-12-28 22:51:33.152573
24,I,E,2024-12-28 22:52:48.480733,2024-12-28 22:52:48.480733
24,I,E,2024-12-28 22:52:48.480733,2024-12-28 22:52:48.480733
65,I,E,21/01/25 00:37,21/01/25 00:37
80,I,E,24/02/25 14:10,24/02/25 14:10
81,I,E,25/02/25 22:16,25/02/25 22:16
82,I,E,25/02/25 23:21,25/02/25 23:21
82,I,E,25/02/25 23:21,25/02/25 23:21
82,I,E,25/02/25 23:21,25/02/25 23:21
86,I,E,26/03/25 21:51,26/03/25 21:51
66,I,E,28/01/25 21:54,28/01/25 21:54
67,I,E,28/01/25 22:14,28/01/25 22:14
68,I,E,28/01/25 22:49,28/01/25 22:49
69,I,E,28/01/25 23:10,28/01/25 23:10
70,I,E,28/01/25 23:19,28/01/25 23:19
25,I,E,28/12/2024 23:04:38,28/12/2024 23:04:38
26,I,E,28/12/2024 23:07,28/12/2024 23:07
27,I,E,28/12/2024 23:16,28/12/2024 23:16
28,I,E,28/12/24 23:19,28/12/24 23:19
28,I,E,28/12/24 23:19,28/12/24 23:19
28,I,E,28/12/24 23:19,28/12/24 23:19
71,I,E,29/01/25 00:29,29/01/25 00:29
72,I,E,29/01/25 00:34,29/01/25 00:34
73,I,E,29/01/25 00:42,29/01/25 00:42
74,I,E,29/01/25 01:12,29/01/25 01:12
75,I,E,29/01/25 01:18,29/01/25 01:18
