cod_param_item;cod_grupo;cod_precificacao
454.0;MA;105
455.0;ML;105
456.0;ML;105
457.0;ML;105
458.0;ML;105
459.0;ML;105
460.0;ML;105
461.0;ML;105
462.0;MN;105
463.0;MO;105
473.0;MA;108
474.0;ML;108
475.0;ML;108
476.0;ML;108
477.0;MN;108
478.0;MA;109
479.0;ML;109
480.0;ML;109
482.0;MA;110
483.0;ML;110
484.0;MA;112
485.0;ML;112
486.0;ML;112
490.0;MA;103
491.0;ML;103
492.0;ML;103
501.0;MA;104
502.0;ML;104
503.0;ML;104
504.0;ML;104
505.0;ML;104
506.0;ML;104
507.0;ML;104
508.0;ML;104
509.0;MN;104
510.0;MO;104
515.0;ML;107
