cod_pram_iten;cod_item;vlr_venda;qnt;percentual_desconto;importacao;franquia;cod_param_item;cod_grupo;cod_precificacao;objeto;und;custo_ref;categoria;grp_categoria;peso;pacote
434;21;0.05;1;0;0;1.0;;;;Terminal Access (500GB);Unidade;525;Recorrente;Subotal Serviço Airtime;1;500
435;8;0.05;1;0;0;;;;;Antena Starlink Flat High Performance;Unidade;18077;Recorrente;Subotal Antena Starlink Standard;1;1
436;12;0.05;1;0;0;;;;;Patch Cord;Unidade;70;Recorrente;Subotal Inversor 12 V;9;1
437;10;0.05;1;0;0;;;;;Adaptador Ethernet;Unidade;170;Recorrente;Subotal Adaptador Ethernet;1;1
438;11;0.05;1;0;0;;;;;Inversor 12 V;Unidade;1407;Recorrente;Subotal Adaptador Ethernet;1;1
439;13;0.05;1;0;0;;;;;Maleta de transporte;Unidade;3500;Recorrente;Subtotal Locacao;3;1
440;18;0.05;1;0;0;;;;;Sistema de monitoramento (Gerencia Pulsar);Unidade;55;Recorrente;Sistema de monitoramento;1;1
441;14;0.05;1;0;0;;;;;Pulsar IO;Unidade;750;Recorrente;Subtotal Locacao;1;1
442;16;0.05;1;0;0;;;;;Instalacao;Unidade;3000;Eventual;Servico de Instalacao;1;1
443;17;0.05;1;0;0;;;;;Servico de operacao e manutencao;Unidade;2000;Recorrente;Servico de operacao e manutencao;1;1
444;21;0.05;1;0;0;1.0;444.0;MA;104.0;Terminal Access (500GB);Unidade;525;Recorrente;Subotal Serviço Airtime;1;500
445;8;0.05;1;0;0;;445.0;ML;104.0;Antena Starlink Flat High Performance;Unidade;18077;Recorrente;Subotal Antena Starlink Standard;1;1
446;12;0.05;1;0;0;;446.0;ML;104.0;Patch Cord;Unidade;70;Recorrente;Subotal Inversor 12 V;9;1
447;10;0.05;1;0;0;;447.0;ML;104.0;Adaptador Ethernet;Unidade;170;Recorrente;Subotal Adaptador Ethernet;1;1
448;11;0.05;1;0;0;;448.0;ML;104.0;Inversor 12 V;Unidade;1407;Recorrente;Subotal Adaptador Ethernet;1;1
449;13;0.05;1;0;0;;449.0;ML;104.0;Maleta de transporte;Unidade;3500;Recorrente;Subtotal Locacao;3;1
450;18;0.05;1;0;0;;450.0;ML;104.0;Sistema de monitoramento (Gerencia Pulsar);Unidade;55;Recorrente;Sistema de monitoramento;1;1
451;14;0.05;1;0;0;;451.0;ML;104.0;Pulsar IO;Unidade;750;Recorrente;Subtotal Locacao;1;1
452;16;0.05;1;0;0;;452.0;MN;104.0;Instalacao;Unidade;3000;Eventual;Servico de Instalacao;1;1
453;17;0.05;1;0;0;;453.0;MO;104.0;Servico de operacao e manutencao;Unidade;2000;Recorrente;Servico de operacao e manutencao;1;1
454;21;0.05;1;0;0;1.0;454.0;MA;105.0;Terminal Access (500GB);Unidade;525;Recorrente;Subotal Serviço Airtime;1;500
455;8;0.05;1;0;0;;455.0;ML;105.0;Antena Starlink Flat High Performance;Unidade;18077;Recorrente;Subotal Antena Starlink Standard;1;1
456;12;0.05;1;0;0;;456.0;ML;105.0;Patch Cord;Unidade;70;Recorrente;Subotal Inversor 12 V;9;1
457;10;0.05;1;0;0;;457.0;ML;105.0;Adaptador Ethernet;Unidade;170;Recorrente;Subotal Adaptador Ethernet;1;1
458;11;0.05;1;0;0;;458.0;ML;105.0;Inversor 12 V;Unidade;1407;Recorrente;Subotal Adaptador Ethernet;1;1
459;13;0.05;1;0;0;;459.0;ML;105.0;Maleta de transporte;Unidade;3500;Recorrente;Subtotal Locacao;3;1
460;18;0.05;1;0;0;;460.0;ML;105.0;Sistema de monitoramento (Gerencia Pulsar);Unidade;55;Recorrente;Sistema de monitoramento;1;1
461;14;0.05;1;0;0;;461.0;ML;105.0;Pulsar IO;Unidade;750;Recorrente;Subtotal Locacao;1;1
462;16;0.05;1;0;0;;462.0;MN;105.0;Instalacao;Unidade;3000;Eventual;Servico de Instalacao;1;1
463;17;0.05;1;0;0;;463.0;MO;105.0;Servico de operacao e manutencao;Unidade;2000;Recorrente;Servico de operacao e manutencao;1;1
464;22;0.0;4;0;0;50.0;464.0;MA;106.0;Terminal Access (50GB);Unidade;105;Recorrente;Subotal Serviço Airtime;1;50
465;9;0.0;4;0;0;;465.0;ML;106.0;Antena Starlink Standard;Unidade;5438;Recorrente;Subotal Antena Starlink Standard;4;1
466;13;0.0;4;0;0;;466.0;ML;106.0;Maleta de transporte;Unidade;3500;Recorrente;Subtotal Locacao;3;1
467;16;0.0;4;0;0;;467.0;MN;106.0;Instalacao;Unidade;3000;Eventual;Servico de Instalacao;1;1
468;21;0.0;3;0;0;500.0;468.0;MA;107.0;Terminal Access (500GB);Unidade;525;Recorrente;Subotal Serviço Airtime;1;500
469;8;0.0;3;0;0;;469.0;ML;107.0;Antena Starlink Flat High Performance;Unidade;18077;Recorrente;Subotal Antena Starlink Standard;1;1
470;11;0.0;3;0;0;;470.0;ML;107.0;Inversor 12 V;Unidade;1407;Recorrente;Subotal Adaptador Ethernet;1;1
471;13;0.0;3;0;0;;471.0;ML;107.0;Maleta de transporte;Unidade;3500;Recorrente;Subtotal Locacao;3;1
472;18;0.0;3;0;0;;472.0;ML;107.0;Sistema de monitoramento (Gerencia Pulsar);Unidade;55;Recorrente;Sistema de monitoramento;1;1
473;21;0.0;10;0;0;2000.0;473.0;MA;108.0;Terminal Access (500GB);Unidade;525;Recorrente;Subotal Serviço Airtime;1;500
474;9;0.0;10;0;0;;474.0;ML;108.0;Antena Starlink Standard;Unidade;5438;Recorrente;Subotal Antena Starlink Standard;4;1
475;13;0.0;10;0;0;;475.0;ML;108.0;Maleta de transporte;Unidade;3500;Recorrente;Subtotal Locacao;3;1
476;18;0.0;10;0;0;;476.0;ML;108.0;Sistema de monitoramento (Gerencia Pulsar);Unidade;55;Recorrente;Sistema de monitoramento;1;1
477;16;0.0;10;0;0;;477.0;MN;108.0;Instalacao;Unidade;3000;Eventual;Servico de Instalacao;1;1
478;21;0.05;1;0;0;1.0;478.0;MA;109.0;Terminal Access (500GB);Unidade;525;Recorrente;Subotal Serviço Airtime;1;500
478;21;0.05;1;0;0;1.0;478.0;MA;103.0;Terminal Access (500GB);Unidade;525;Recorrente;Subotal Serviço Airtime;1;500
478;21;0.05;1;0;0;1.0;478.0;MA;106.0;Terminal Access (500GB);Unidade;525;Recorrente;Subotal Serviço Airtime;1;500
479;9;0.05;1;0;0;;479.0;ML;103.0;Antena Starlink Standard;Unidade;5438;Recorrente;Subotal Antena Starlink Standard;4;1
479;9;0.05;1;0;0;;479.0;ML;106.0;Antena Starlink Standard;Unidade;5438;Recorrente;Subotal Antena Starlink Standard;4;1
479;9;0.05;1;0;0;;479.0;ML;109.0;Antena Starlink Standard;Unidade;5438;Recorrente;Subotal Antena Starlink Standard;4;1
480;21;0.05;1;0;0;1.0;480.0;MA;106.0;Terminal Access (500GB);Unidade;525;Recorrente;Subotal Serviço Airtime;1;500
480;21;0.05;1;0;0;1.0;480.0;ML;109.0;Terminal Access (500GB);Unidade;525;Recorrente;Subotal Serviço Airtime;1;500
480;21;0.05;1;0;0;1.0;480.0;ML;103.0;Terminal Access (500GB);Unidade;525;Recorrente;Subotal Serviço Airtime;1;500
481;8;0.05;1;0;0;;481.0;ML;103.0;Antena Starlink Flat High Performance;Unidade;18077;Recorrente;Subotal Antena Starlink Standard;1;1
481;8;0.05;1;0;0;;481.0;ML;106.0;Antena Starlink Flat High Performance;Unidade;18077;Recorrente;Subotal Antena Starlink Standard;1;1
482;21;0.05;1;0;0;1.0;482.0;MA;110.0;Terminal Access (500GB);Unidade;525;Recorrente;Subotal Serviço Airtime;1;500
482;21;0.05;1;0;0;1.0;482.0;ML;103.0;Terminal Access (500GB);Unidade;525;Recorrente;Subotal Serviço Airtime;1;500
483;8;0.05;1;0;0;;483.0;ML;103.0;Antena Starlink Flat High Performance;Unidade;18077;Recorrente;Subotal Antena Starlink Standard;1;1
483;8;0.05;1;0;0;;483.0;ML;110.0;Antena Starlink Flat High Performance;Unidade;18077;Recorrente;Subotal Antena Starlink Standard;1;1
484;21;0.1;2;0;0;500.0;484.0;ML;103.0;Terminal Access (500GB);Unidade;525;Recorrente;Subotal Serviço Airtime;1;500
484;21;0.1;2;0;0;500.0;484.0;MA;112.0;Terminal Access (500GB);Unidade;525;Recorrente;Subotal Serviço Airtime;1;500
485;8;0.1;2;0;0;;485.0;ML;103.0;Antena Starlink Flat High Performance;Unidade;18077;Recorrente;Subotal Antena Starlink Standard;1;1
485;8;0.1;2;0;0;;485.0;ML;112.0;Antena Starlink Flat High Performance;Unidade;18077;Recorrente;Subotal Antena Starlink Standard;1;1
486;10;0.1;2;0;0;;486.0;MN;103.0;Adaptador Ethernet;Unidade;170;Recorrente;Subotal Adaptador Ethernet;1;1
486;10;0.1;2;0;0;;486.0;ML;112.0;Adaptador Ethernet;Unidade;170;Recorrente;Subotal Adaptador Ethernet;1;1
